admin4pcode,month,beneficiaries,cluster
C1547,jan,1661,Food
C1547,mar,980,Food
C1548,mar,1250,Food
C1549,jan,267,Food
C1550,apr,205,Food
C1550,mar,205,Food
C1551,mar,400,Food
C1552,apr,1795,Food
C1552,jan,2175,Food
C1552,mar,1820,Food
C1553,jan,176,Food
C1555,mar,600,Food
C1556,jan,460,Food
C1557,mar,60,Food
C1558,jan,3874,Food
C1558,mar,135,Food
C1559,jan,2737,Food
C1559,mar,225,Food
C1561,jan,3564,Food
C1561,mar,3950,Food
C1564,feb,900,Food
C1564,jan,4195,Food
C1564,mar,1500,Food
C1566,jan,6685,Food
C1568,jan,1745,Food
C1568,mar,1530,Food
C1572,mar,1250,Food
C1573,jan,2562,Food
C1574,jan,7363,Food
C1575,jan,1745,Food
C1576,jan,428,Food
C1581,jan,3114,Food
